10002
J0804+5740


1

45
C     5.63   0.16
N     5.90   0.22
O     7.15   0.14
Na    4.08   0.20
Mg    5.57   0.15
Al    3.70   0.20
Si    5.50   0.16
Ca    4.21   0.12
Sc    0.92   0.10
Ti    2.99   0.10
V     1.63   0.10
Cr    2.89   0.17
Mn    2.45   0.14
Fe    5.05   0.15
Co    2.40   0.19
Ni    3.67   0.14
Cu    1.08   0.18
Zn    2.33   0.11
Sr    0.92   0.13
Y    -0.03   0.11
Zr    0.78   0.10
Nb    0.11   0.13
Mo    0.03   0.21
Ru    0.21   0.19
Rh   -0.33   0.23
Ba    0.26   0.12
La   -0.73   0.11
Ce   -0.37   0.11
Pr   -1.00   0.11
Nd   -0.32   0.11
Sm   -0.71   0.11
Eu   -1.06   0.12
Gd   -0.54   0.11
Tb   -1.29   0.13
Dy   -0.48   0.11
Ho   -1.19   0.12
Er   -0.71   0.12
Tm   -1.49   0.13
Yb   -0.71   0.14
Lu   -1.45   0.13
Hf   -0.77   0.14
Os   -0.19   0.26
Ir   -0.14   0.18
Pb    0.20   0.18
Th   -1.28   0.15
As09
