name,Z,A,[Fe/H],Vel,YieldTot
C12,6,12,-3,0,1.4939e-06
C13,6,13,-3,0,1.8103e-08
C14,6,14,-3,0,0.0
N13,7,13,-3,0,0.0
N14,7,14,-3,0,2.372e-07
N15,7,15,-3,0,5.833e-10
N16,7,16,-3,0,0.0
O15,8,15,-3,0,0.0
O16,8,16,-3,0,6.9673e-06
O17,8,17,-3,0,2.8123e-09
O18,8,18,-3,0,1.5714e-08
O19,8,19,-3,0,0.0
F17,0,17,-3,0,0.0
F18,0,18,-3,0,0.0
F19,0,19,-3,0,1.7327e-10
F20,0,20,-3,0,0.0
Ne20,10,20,-3,0,3.9741e-07
Ne21,10,21,-3,0,1.0002e-09
Ne22,10,22,-3,0,3.2142e-08
Ne23,10,23,-3,0,0.0
Na21,11,21,-3,0,0.0
Na22,11,22,-3,0,0.0
Na23,11,23,-3,0,1.0039e-08
Na24,11,24,-3,0,0.0
Mg23,12,23,-3,0,0.0
Mg24,12,24,-3,0,3.371e-07
Mg25,12,25,-3,0,4.4455e-08
Mg26,12,26,-3,0,5.09e-08
Mg27,12,27,-3,0,0.0
Al25,13,25,-3,0,0.0
Al26,13,26,-3,0,0.0
Al27,13,27,-3,0,1.9113e-08
Al28,13,28,-3,0,0.0
Si27,14,27,-3,0,0.0
Si28,14,28,-3,0,5.3952e-07
Si29,14,29,-3,0,2.8373e-08
Si30,14,30,-3,0,1.9349e-08
Si31,14,31,-3,0,0.0
Si32,14,32,-3,0,0.0
P29,15,29,-3,0,0.0
P30,15,30,-3,0,0.0
P31,15,31,-3,0,2.0014e-09
P32,15,32,-3,0,0.0
P33,15,33,-3,0,0.0
P34,15,34,-3,0,0.0
S31,16,31,-3,0,0.0
S32,16,32,-3,0,2.2518e-07
S33,16,33,-3,0,1.8591e-09
S34,16,34,-3,0,1.0812e-08
S35,16,35,-3,0,0.0
S36,16,36,-3,0,5.3371e-11
S37,16,37,-3,0,0.0
Cl33,17,33,-3,0,0.0
Cl34,17,34,-3,0,0.0
Cl35,17,35,-3,0,2.1066e-09
Cl36,17,36,-3,0,0.0
Cl37,17,37,-3,0,7.118e-10
Cl38,17,38,-3,0,0.0
Ar36,18,36,-3,0,4.3013e-08
Ar37,18,37,-3,0,0.0
Ar38,18,38,-3,0,8.2553e-09
Ar39,18,39,-3,0,0.0
Ar40,18,40,-3,0,1.3899e-11
Ar41,18,41,-3,0,0.0
K37,19,37,-3,0,0.0
K38,19,38,-3,0,0.0
K39,19,39,-3,0,9.7753e-10
K40,19,40,-3,0,1.5825e-12
K41,19,41,-3,0,7.4162e-11
K42,19,42,-3,0,0.0
Ca40,20,40,-3,0,4.7703e-08
Ca41,20,41,-3,0,0.0
Ca42,20,42,-3,0,3.3429e-10
Ca43,20,43,-3,0,7.1411e-11
Ca44,20,44,-3,0,1.1291e-09
Ca45,20,45,-3,0,0.0
Ca46,20,46,-3,0,2.2635e-12
Ca47,20,47,-3,0,0.0
Ca48,20,48,-3,0,1.1042e-10
Ca49,20,49,-3,0,0.0
Sc41,21,41,-3,0,0.0
Sc42,21,42,-3,0,0.0
Sc43,21,43,-3,0,0.0
Sc44,21,44,-3,0,0.0
Sc45,21,45,-3,0,1.5966e-11
Sc46,21,46,-3,0,0.0
Sc47,21,47,-3,0,0.0
Sc48,21,48,-3,0,0.0
Sc49,21,49,-3,0,0.0
Ti44,22,44,-3,0,0.0
Ti45,22,45,-3,0,0.0
Ti46,22,46,-3,0,1.6951e-10
Ti47,22,47,-3,0,1.5619e-10
Ti48,22,48,-3,0,1.5805e-09
Ti49,22,49,-3,0,1.184e-10
Ti50,22,50,-3,0,1.1568e-10
Ti51,22,51,-3,0,0.0
V45,23,45,-3,0,0.0
V46,23,46,-3,0,0.0
V47,23,47,-3,0,0.0
V48,23,48,-3,0,0.0
V49,23,49,-3,0,0.0
V50,23,50,-3,0,2.6723e-13
V51,23,51,-3,0,1.0876e-10
V52,23,52,-3,0,0.0
Cr48,24,48,-3,0,0.0
Cr49,24,49,-3,0,0.0
Cr50,24,50,-3,0,2.3819e-10
Cr51,24,51,-3,0,0.0
Cr52,24,52,-3,0,4.7772e-09
Cr53,24,53,-3,0,5.521e-10
Cr54,24,54,-3,0,1.4002e-10
Cr55,24,55,-3,0,0.0
Mn50,25,50,-3,0,0.0
Mn51,25,51,-3,0,0.0
Mn52,25,52,-3,0,0.0
Mn53,25,53,-3,0,0.0
Mn54,25,54,-3,0,0.0
Mn55,25,55,-3,0,3.7183e-09
Mn56,25,56,-3,0,0.0
Mn57,25,57,-3,0,0.0
Fe52,26,52,-3,0,0.0
Fe53,26,53,-3,0,0.0
Fe54,26,54,-3,0,2.507e-08
Fe55,26,55,-3,0,0.0
