property,property,property,property,0,0,0,1,1,1,1,1
name,FeH,N,fitness,model,age,offset,mass,energy,mixing,remnant,offset
J0127+1100,-2.41,19,2.652618253540236,74,13.000000000002737,1.0134844130593734e-08,11.3,0.9,0.001,1.487,0.007658571374703438
J0711+3538,-3.25,18,1.7017729891726086,33,13.000000000002737,6.865757407048534e-10,13.4,1.2000000000000002,0.01,1.59,0.0004139901902328047
J0748+3209,-3.08,16,2.9830586041711222,74,13.000000000002737,3.9944084706533545e-09,10.6,0.9,0.001,1.405,0.00302104692063232
J1109+0754,-3.31,22,2.2448329905713478,32,13.000000000002737,2.287460887373527e-09,10.6,0.6000000000000001,0.001584893192461114,1.41,0.0018337245037585714
J1158+0734,-2.93,23,1.862698137841504,101,13.000000000002737,1.81249598663058e-09,11.9,0.30000000000000004,0.025118864315095794,2.027,0.21446692384459876
J1218+2838,-2.13,18,2.962001791836063,33,13.000000000002737,8.835269293960835e-09,10.6,0.6000000000000001,0.003981071705534973,1.41,0.02135769287794448
J1341+3255,-2.81,22,2.310620669412936,41,13.000000000002737,5.245263112740872e-09,13.2,1.2000000000000002,0.015848931924611134,1.601,0.001294188055734613
J1413+1727,-3.25,18,2.6504371574429935,33,13.000000000002737,5.111038814398228e-10,13.2,1.2000000000000002,0.01,1.601,0.0005431110997404787
J1414+1457,-2.58,22,3.872509840838362,32,13.000000000002737,6.055453583009296e-09,10.6,0.6000000000000001,0.001584893192461114,1.41,0.008771809111846662
J1523+0714,-2.63,23,2.803127598844225,73,13.000000000002737,4.259785413296413e-09,13.2,0.9,0.039810717055349734,1.888,0.0039093051969108505
J1641+0334,-3.26,14,1.741508387554344,74,2.7379092627716654e-12,4.4096689633121855e-09,11.3,0.9,0.00630957344480193,1.487,0.0009219194470785896
J1833+1309,-2.64,15,2.4020913467439335,33,13.000000000002737,4.555663402072696e-09,10.5,0.6000000000000001,0.0025118864315095794,1.434,0.009150506890480081
J2159+0308,-2.83,22,2.6380801029262235,33,13.000000000002737,2.1068810585056497e-09,10.9,0.30000000000000004,0.015848931924611134,1.59,0.02779848252725642
