property,property,property,property,0,0,0,1,1,1,1,1,1
name,FeH,N,fitness,model,age,offset,mass,metallicity,rotation,explosion,remnant,offset
J0003+1556,-2.23,19,4.388537629888126,4,2.7379092627716654e-12,2.549303157461935e-09,25.0,1.0,150.0,3,2.832676263045297,0.001338206089109173
J0006+0123,-2.27,16,7.499195028364626,2,2.7379092627716654e-12,2.0040213932759343e-09,13.0,1.0,150.0,3,2.2510626720428757,0.0011821043708979406
J0040+2729,-2.81,24,4.143779750620697,101,2.7379092627716654e-12,3.3035272850590047e-09,20.0,1.0,150.0,3,2.9312148875955053,0.00031181848405814616
J0041+3633,-2.37,20,6.35072471111523,74,2.7379092627716654e-12,2.311743629856977e-09,25.0,1.0,150.0,3,2.832676263045297,0.0009464931913550356
J0055+1857,-2.34,21,8.909178258467925,2,1.0000000000027378,1.0071500855524107e-09,20.0,1.0,150.0,3,2.9312148875955053,0.0009174323262067796
J0119-0121,-3.19,13,9.708718869559876,62,13.000000000002737,1.4914813167843377e-07,30.0,1.0,150.0,3,2.4653395988547686,0.0004766352755756764
J0124+0458,-3.22,18,5.619255541634024,33,13.000000000002737,1.8902649445706743e-09,120.0,0.001,150.0,4,74.79646319686736,0.7714970618654549
J0127+1100,-2.41,19,3.921859173074474,101,13.000000000002737,3.943977811005084e-09,20.0,0.001,300.0,3,2.828076320581907,0.0015408498911513857
J0159+1219,-1.94,19,4.84995494658607,74,2.7379092627716654e-12,1.1881342520947413e-08,30.0,0.1,150.0,4,25.89694886927741,0.14601759926442553
J0302+1356,-1.88,22,3.5109464780935205,33,13.000000000002737,5.843808548178231e-09,30.0,0.1,150.0,2,25.89694886927741,0.11860525246856946
J0405+2141,-3.21,18,4.770462896440435,101,13.000000000002737,1.233264323996508e-09,120.0,0.001,150.0,4,74.79646319686736,0.6977819896160602
J0446+2124,-2.82,18,6.687030522094441,31,2.7379092627716654e-12,4.8530045093642116e-08,15.0,0.001,300.0,3,2.3531317812454855,0.0005295856096774743
J0554+5235,-2.29,19,5.177628436811958,74,13.000000000002737,6.639135019526066e-09,25.0,1.0,150.0,3,2.832676263045297,0.0013430614876056013
J0643+5934,-2.57,20,8.960675064477314,101,2.7379092627716654e-12,1.1248896814031184e-09,25.0,1.0,150.0,3,2.832676263045297,0.0005510157524841186
J0653+4735,-2.41,24,6.418952715045359,4,13.000000000002737,7.202188900823359e-09,25.0,0.01,150.0,3,3.1379176784461364,0.0012486189561330407
J0711+3538,-3.25,18,2.64752301952076,101,2.7379092627716654e-12,2.8807595198188096e-10,120.0,0.001,150.0,2,74.79646319686736,0.5308673445419508
J0748+3209,-3.08,16,3.777280447131768,74,2.7379092627716654e-12,3.07605069194139e-09,120.0,0.01,150.0,3,72.2947401359666,0.10791591904084202
J0804+5740,-2.47,24,6.658286811109152,93,2.7379092627716654e-12,1.1118571341395267e-08,25.0,1.0,150.0,3,2.832676263045297,0.0006665616159484689
J0824+3025,-2.72,8,inf,41,2.7379092627716654e-12,1.1084672302263954e-07,120.0,0.01,300.0,2,70.36897637882832,0.27602052909748376
J0934-0108,-2.34,21,9.204962285392652,2,1.0000000000027378,7.804345503181764e-10,20.0,1.0,150.0,3,2.9312148875955053,0.0007886160914341023
J0948+0000,-2.79,18,8.039812942384064,4,2.7379092627716654e-12,3.256056813061292e-09,20.0,1.0,300.0,3,3.104132616052702,0.0002586866930845977
J0949+2707,-2.9,12,4.321911240893164,31,2.7379092627716654e-12,3.2281916190202153e-07,30.0,1.0,150.0,3,2.4653395988547686,0.0007856259834172485
J1003-0358,-2.18,16,9.42439723006175,62,13.000000000002737,1.360046414933258e-07,20.0,1.0,150.0,1,2.535413762421978,0.0014018487180527117
J1005-0350,-2.29,18,9.50063346150522,101,2.7379092627716654e-12,2.8636928384173643e-09,20.0,1.0,150.0,3,2.9312148875955053,0.001019592916302603
J1011+3524,-2.25,15,10.393617773291309,1,13.000000000002737,2.05437383771212e-08,20.0,1.0,150.0,1,2.535413762421978,0.0014464228911016397
J1020+4046,-2.94,15,8.369826648414238,101,2.7379092627716654e-12,3.4711575780388415e-08,30.0,0.1,150.0,4,25.89694886927741,0.013872579149480813
J1044+3713,-2.03,22,6.098022439271607,4,2.7379092627716654e-12,6.7264354086660205e-09,20.0,1.0,150.0,3,2.9312148875955053,0.0017555553867287799
J1044-0358,-2.13,16,9.807732551260353,74,13.000000000002737,6.229356697140531e-08,20.0,1.0,150.0,3,2.9312148875955053,0.0019303690325815914
J1058-0138,-2.28,14,12.211983613300944,2,2.7379092627716654e-12,2.0789600485571214e-08,20.0,0.1,150.0,3,2.9726548689122154,0.001678272475644338
J1059+0208,-2.3,20,3.665379244620589,33,13.000000000002737,4.313909229836099e-09,30.0,0.1,150.0,2,25.89694886927741,0.05115486025558458
J1101+2031,-2.52,19,9.536007030769158,33,13.000000000002737,2.1868796218349473e-09,13.0,0.01,150.0,3,2.1078892357123067,0.0012204595906801785
J1102+0102,-2.32,21,6.958289625676599,4,13.000000000002737,8.654402194885336e-10,120.0,0.01,300.0,4,70.36897637882832,0.2788752076103818
J1109+0754,-3.31,22,2.5340227832900903,33,13.000000000002737,6.714118705453131e-10,120.0,0.001,150.0,2,74.79646319686736,0.5454238664217985
