property,property,property,property,0,0,0
name,FeH,N,fitness,model,age,offset
J0003+1556,-2.23,10,9.331418384871379,32,13.000000000002737,1.9343668777871414e-08
J0006+0123,-2.27,7,23.451869304985486,32,13.000000000002737,1.3393745723622175e-08
J0040+2729,-2.81,14,8.549408106705277,92,13.000000000002737,8.575678112077156e-09
J0041+3633,-2.37,10,7.370349907105857,21,13.000000000002737,1.0528443283863709e-08
J0055+1857,-2.34,11,15.563153679457159,32,13.000000000002737,7.74778585732605e-09
J0119-0121,-3.19,8,5.3275765614718456,62,13.000000000002737,1.4673414816535058e-07
J0124+0458,-3.22,10,8.66441431777673,92,13.000000000002737,4.718302581974143e-09
J0127+1100,-2.41,10,2.899103039149181,74,13.000000000002737,1.0134761307956097e-08
J0159+1219,-1.94,9,5.547882777333182,11,13.000000000002737,4.139567616467943e-08
J0302+1356,-1.88,12,4.114144652601255,32,13.000000000002737,2.2859099835237373e-08
J0405+2141,-3.21,10,7.586606497644731,92,13.000000000002737,3.89583643123359e-09
J0446+2124,-2.82,11,4.855155097533844,31,2.7379092627716654e-12,5.084952436895662e-08
J0554+5235,-2.29,10,19.080129540987546,21,13.000000000002737,3.162043327176178e-08
J0643+5934,-2.57,10,11.511936274941181,61,13.000000000002737,5.734467622975359e-09
J0653+4735,-2.41,15,4.968936363590725,74,13.000000000002737,1.862665299778854e-08
J0711+3538,-3.25,10,4.642850419562222,92,13.000000000002737,1.2362632584306255e-09
J0748+3209,-3.08,9,4.216550076011755,74,13.000000000002737,3.994405861629247e-09
J0804+5740,-2.47,14,6.956602012798803,32,13.000000000002737,1.6559883686539933e-08
J0824+3025,-2.72,4,12.597764009628584,74,13.000000000002737,6.658202222897813e-08
J0934-0108,-2.34,11,14.892821844013953,41,13.000000000002737,4.533024955399867e-09
J0948+0000,-2.79,11,11.954945401800236,74,7.000000000002738,1.0383772397482005e-08
J0949+2707,-2.9,7,1.80435776501652,62,2.7379092627716654e-12,3.3185601566732004e-07
J1003-0358,-2.18,9,6.832651836992604,74,13.000000000002737,9.214641544241786e-08
J1005-0350,-2.29,9,25.564380314619584,61,13.000000000002737,1.0872805100703431e-08
J1011+3524,-2.25,8,14.384764539204918,74,13.000000000002737,5.357322779842022e-08
J1020+4046,-2.94,9,16.613182751239936,74,2.7379092627716654e-12,3.675703214023329e-08
J1044+3713,-2.03,12,5.027036773125204,74,13.000000000002737,1.9706348608483637e-08
J1044-0358,-2.13,8,6.089422097600346,74,13.000000000002737,7.785014655148359e-08
J1058-0138,-2.28,7,11.444068354815847,74,13.000000000002737,4.2829887858530924e-08
J1059+0208,-2.3,10,12.326025399704235,92,13.000000000002737,1.02139620650199e-08
J1101+2031,-2.52,10,13.02559935982911,61,13.000000000002737,4.327528391190327e-09
J1102+0102,-2.32,11,15.611941452989718,61,13.000000000002737,1.0131720795669708e-08
J1109+0754,-3.31,12,2.880935995820469,32,13.000000000002737,2.2874793170757357e-09
J1122+1223,-2.3,9,12.59438512964188,61,13.000000000002737,1.2886161193659262e-08
J1145+0359,-2.43,12,6.192861270476312,92,13.000000000002737,1.65343708169452e-08
J1158+0734,-2.93,13,2.3646692849572712,41,13.000000000002737,4.806301578952343e-09
J1205+1309,-1.67,11,10.433843326930813,41,13.000000000002737,6.515345457591692e-08
J1207+2244,-2.76,11,11.972341034893962,61,13.000000000002737,3.0705933351526937e-09
J1208+3954,-2.64,11,5.678866081563809,61,13.000000000002737,5.8045374062842825e-09
J1213+2506,-2.83,7,19.17087486573312,61,13.000000000002737,4.667104647193554e-09
J1218+2838,-2.13,8,3.478880252621677,32,13.000000000002737,1.577528796481431e-08
J1221+0907,-2.34,11,10.874948299430194,61,13.000000000002737,1.0996679344899007e-08
J1225-0452,-2.52,12,3.9966203150489314,32,13.000000000002737,5.2447158838120345e-09
J1226+2323,-2.47,12,9.308214548126923,61,13.000000000002737,6.671614760644928e-09
J1236+3424,-2.53,11,5.839192211075234,32,13.000000000002737,4.82711443039463e-09
J1250-0307,-2.07,9,6.843294446047828,92,13.000000000002737,1.4601996112251214e-08
J1300+2632,-1.28,8,14.017298106236904,62,2.7379092627716654e-12,2.1811766520718479e-07
J1341+3255,-2.81,12,3.0331885167241834,41,13.000000000002737,5.245210932258715e-09
J1345+0513,-2.69,11,8.108210871863909,21,13.000000000002737,3.3519569897499935e-09
J1352+2646,-3.06,9,10.017943812343203,61,13.000000000002737,1.7472850388777772e-09
