property,property,property,property,0,0,0,0
name,FeH,N,fitness,model,mass,age,offset
J0003+1556,-2.23,10,12.445462039784454,1,0.0276,13.0,1.1299628136207347e-08
J0006+0123,-2.27,7,8.2396423089989,1,0.0276,13.0,9.777457855556152e-09
J0040+2729,-2.81,14,4.116235879363518,4,0.029,13.0,3.76782479522159e-09
J0041+3633,-2.37,10,12.550452537333362,3,0.027,13.0,4.792350429286597e-09
J0055+1857,-2.34,11,9.97976469049676,1,0.0276,13.0,5.546327616403714e-09
J0119-0121,-3.19,8,9.918725983243737,6,0.0459,13.0,6.866786218068487e-08
J0124+0458,-3.22,10,5.190433583598904,4,0.029,13.0,1.902774946486564e-09
J0127+1100,-2.41,10,4.859650284148413,2,0.0296,13.0,6.0293487978339375e-09
J0159+1219,-1.94,9,7.902160363132295,1,0.0276,13.0,1.9898720654732273e-08
J0302+1356,-1.88,12,10.901028420912084,4,0.029,13.0,9.275606391225692e-09
J0405+2141,-3.21,10,8.753877373849628,4,0.029,13.0,1.4818703313154078e-09
J0446+2124,-2.82,11,10.266490452652114,10,0.0157,0.1,1.2208202356943849e-08
J0554+5235,-2.29,10,30.833199834688525,3,0.027,13.0,1.6732998526208294e-08
J0643+5934,-2.57,10,15.918463997569571,1,0.0276,13.0,3.5160169873574454e-09
J0653+4735,-2.41,15,16.990433587333047,5,0.0439,13.0,9.990978377028292e-09
J0711+3538,-3.25,10,2.4729117103744307,4,0.029,13.0,5.17835830744291e-10
J0748+3209,-3.08,9,4.684887518047183,4,0.029,0.1,3.052574765588583e-09
J0804+5740,-2.47,14,7.304158937950668,3,0.027,13.0,8.032175097581168e-09
J0824+3025,-2.72,4,3.9522260581434496,10,0.0157,0.1,7.784377466217132e-08
J0934-0108,-2.34,11,7.853962445120404,4,0.029,13.0,2.898218780777838e-09
J0948+0000,-2.79,10,13.490591516983509,1,0.0276,13.0,9.823942232909027e-09
J0949+2707,-2.9,7,3.1355034364924954,10,0.0157,0.1,1.7257671702520588e-07
J1003-0358,-2.18,9,11.694411692952762,9,0.0154,13.0,4.271548756515027e-08
J1005-0350,-2.29,9,3.086163637778943,1,0.0276,13.0,7.433608456384158e-09
J1011+3524,-2.25,8,20.57020891589635,2,0.0296,13.0,3.2354404076072713e-08
J1020+4046,-2.94,9,2.005498749346961,10,0.0157,0.1,1.979649683181554e-08
J1044+3713,-2.03,12,8.001965085238945,4,0.029,13.0,1.3147153153301187e-08
J1044-0358,-2.13,8,8.190891516565914,2,0.0296,13.0,5.652610921731971e-08
J1058-0138,-2.28,7,6.313244984817062,10,0.0157,13.0,2.8157748771257802e-08
J1059+0208,-2.3,10,17.008248346979745,2,0.0296,13.0,7.798169990478509e-09
J1101+2031,-2.52,10,7.901781212933563,4,0.029,13.0,2.016819524511001e-09
J1102+0102,-2.32,11,20.96180387551465,1,0.0276,13.0,5.382756367329107e-09
J1109+0754,-3.31,12,4.272163671901634,3,0.027,13.0,1.1354120460119244e-09
J1122+1223,-2.3,9,15.537257514514556,1,0.0276,13.0,7.703511068825704e-09
