property,property,property,property,0,0,0,0
name,FeH,N,fitness,model,mass,age,offset
J0003+1556,-2.23,7,10.230185302768461,2,0.0296,13.0,5.026112929436389e-09
J0006+0123,-2.27,4,7.040077615099443,4,0.029,0.1,5.3800938761981246e-09
J0040+2729,-2.81,11,3.5113611513019687,2,0.0296,13.0,3.2943590809907103e-09
J0041+3633,-2.37,7,12.662099018991416,2,0.0296,13.0,1.7920224640816017e-09
J0055+1857,-2.34,8,10.6467931585811,2,0.0296,13.0,2.621168730727594e-09
J0119-0121,-3.19,5,15.85230314808239,18,0.112,13.0,1.287833041996016e-07
J0124+0458,-3.22,7,5.095145210701014,4,0.029,13.0,1.6443312544237986e-09
J0127+1100,-2.41,7,7.26565188695809,4,0.029,13.0,6.32112903701749e-09
J0159+1219,-1.94,6,15.722918118923602,1,0.0276,0.1,1.9919540394114906e-08
J0302+1356,-1.88,9,12.560806853479635,2,0.0296,13.0,7.621775288042937e-09
J0405+2141,-3.21,7,11.614270785817354,2,0.0296,13.0,1.3292988760070397e-09
J0446+2124,-2.82,8,11.257483433634984,4,0.029,0.1,3.0365408516661e-08
J0554+5235,-2.29,7,24.02191204375623,4,0.029,13.0,5.8772283577479504e-09
J0643+5934,-2.57,7,15.965252754961309,2,0.0296,13.0,1.591260396051218e-09
J0653+4735,-2.41,12,21.566641655054113,1,0.0276,13.0,2.1888121733350574e-08
J0711+3538,-3.25,7,3.1292542720423446,2,0.0296,13.0,4.336186685723535e-10
J0748+3209,-3.08,6,7.808567054606861,4,0.029,0.1,2.9718513727203745e-09
J0804+5740,-2.47,11,5.501542115098694,4,0.029,13.0,3.5934653157805552e-09
J0824+3025,-2.72,2,-3.1593068781215825,9,0.0154,12.0,1.0100280564594788e-07
J0934-0108,-2.34,8,10.427047197423295,2,0.0296,13.0,2.751609310166989e-09
J0948+0000,-2.79,7,10.900008007839668,4,0.029,6.0,5.196632859436703e-09
J0949+2707,-2.9,4,0.7490418415359614,2,0.0296,13.0,4.945575259759977e-07
J1003-0358,-2.18,6,19.448146461946646,10,0.0157,6.0,3.918063328977434e-08
J1005-0350,-2.29,6,3.9434179759868253,1,0.0276,0.1,7.965414258222904e-09
J1011+3524,-2.25,5,37.57662437611859,4,0.029,0.1,4.2580659906380353e-08
J1020+4046,-2.94,7,2.3910368526866335,9,0.0154,0.1,2.47670453854778e-08
J1044+3713,-2.03,9,9.630183848797666,4,0.029,13.0,1.1817933439004692e-08
J1044-0358,-2.13,5,13.634145722560389,4,0.029,6.0,6.853112333781645e-08
J1058-0138,-2.28,4,16.935266394705934,4,0.029,6.0,5.2032915526161425e-08
J1059+0208,-2.3,7,28.719128511746256,2,0.0296,13.0,7.681421541903611e-09
J1101+2031,-2.52,7,9.534087510812885,2,0.0296,13.0,1.8154036993628719e-09
J1102+0102,-2.32,8,29.984286691354452,1,0.0276,13.0,5.488261011502625e-09
J1109+0754,-3.31,9,2.507215914062242,4,0.029,13.0,5.162670700349088e-10
J1122+1223,-2.3,6,14.2198636225634,2,0.0296,13.0,3.3638024569424184e-09
J1145+0359,-2.43,9,10.576498268533337,2,0.0296,13.0,6.17407715611245e-09
J1158+0734,-2.93,10,1.178263178765736,4,0.029,13.0,1.25136919951618e-09
J1205+1309,-1.67,8,6.505677113335361,4,0.029,13.0,1.7822062843748824e-08
J1207+2244,-2.76,8,4.5118585828426925,2,0.0296,13.0,8.061754963580663e-10
J1208+3954,-2.64,8,8.377215440608381,2,0.0296,13.0,1.9100654324639265e-09
J1213+2506,-2.83,4,8.601754812413667,2,0.0296,13.0,9.158563652678477e-10
J1218+2838,-2.13,5,7.8468483580810044,1,0.0276,0.1,8.341322430417025e-09
J1221+0907,-2.34,8,6.119450506820641,2,0.0296,13.0,2.5290591979850196e-09
J1225-0452,-2.52,9,9.960794558655703,2,0.0296,13.0,1.7895610596551796e-09
J1226+2323,-2.47,9,9.080300644402815,2,0.0296,13.0,1.5473701640095325e-09
J1236+3424,-2.53,8,6.391771414280662,4,0.029,13.0,1.6984064546526685e-09
J1250-0307,-2.07,6,13.939259609779414,2,0.0296,13.0,9.031596401332474e-09
J1300+2632,-1.28,6,4.9777294969342005,9,0.0154,11.0,1.0845410571447155e-07
J1341+3255,-2.81,9,3.8075369071673943,4,0.029,13.0,2.1007808912226374e-09
J1345+0513,-2.69,8,14.872893397983358,4,0.029,0.1,4.355346701741487e-10
J1352+2646,-3.06,6,8.690095125328725,4,0.029,13.0,4.971688939920662e-10
J1400+1215,-2.42,8,24.424580462180568,2,0.0296,13.0,4.791760743668639e-09
J1400+4926,-2.58,6,6.7653750913098,2,0.0296,13.0,2.019348402932758e-09
J1413+1727,-3.25,6,4.016074875324624,2,0.0296,13.0,2.7950998919929315e-10
J1414+1457,-2.58,9,4.688417103652381,4,0.029,0.1,1.460055330404458e-09
J1414+1721,-2.45,6,16.523577175505366,2,0.0296,13.0,2.9424625649018405e-09
J1423+0322,-2.61,8,7.289592112704513,2,0.0296,6.0,9.139818123171467e-10
J1434+3540,-1.91,7,24.393177477636534,6,0.0459,13.0,6.229617642957993e-08
J1459+0444,-2.76,9,10.492197141632754,2,0.0296,13.0,9.100785449729317e-10
J1501+3445,-2.61,7,6.10696816884233,4,0.029,13.0,2.864768577837409e-09
J1516+0442,-2.33,8,16.517307051165197,2,0.0296,13.0,1.976658604760767e-09
J1518+2544,-2.15,7,12.5639627672048,2,0.0296,13.0,3.112008320279837e-09
