property,property,property,property,0,0,0,0,0,0
name,FeH,N,fitness,mass,metallicity,rotation,explosion,remnant,offset
J0003+1556,-2.23,7,17.59885840514804,20.0,0.01,0.0,3,1.8437469416297532,0.9999999999999858
J0006+0123,-2.27,6,53.64783446881445,80.0,0.01,0.0,2,78.59782235546902,0.9373749320782382
J0040+2729,-2.81,8,14.429426902891452,30.0,0.01,0.0,2,29.86190385074956,0.5728279568335536
J0041+3633,-2.37,7,7.190910704169397,15.0,0.01,0.0,3,1.7320775179841537,0.7114021002011511
J0055+1857,-2.34,8,22.83399385924523,30.0,0.001,150.0,1,3.300022507675891,0.03197343198994957
J0119-0121,-3.19,8,5.971385311162379,15.0,0.01,300.0,1,2.2177436038999403,0.0032611682784743547
J0124+0458,-3.22,7,15.745808674661426,30.0,0.01,0.0,2,29.86190385074956,0.3145381291786734
J0127+1100,-2.41,7,6.236508587977468,20.0,0.001,300.0,3,2.828076320581907,0.002619077551762287
J0159+1219,-1.94,8,5.356489346511149,20.0,0.01,300.0,3,3.7763391255174312,0.0006758768284866739
J0302+1356,-1.88,8,10.794598606049027,60.0,0.001,300.0,1,6.675602051196556,0.0018511947618688317
J0405+2141,-3.21,7,17.337797524231497,15.0,0.001,300.0,3,2.3531317812454855,0.0007146656136122859
J0446+2124,-2.82,8,15.967148321710079,13.0,0.01,300.0,1,2.0519462064664005,0.0011537599378928418
J0554+5235,-2.29,7,20.967706238233294,120.0,0.01,300.0,4,70.36897637882832,0.9999999999999858
J0643+5934,-2.57,7,16.409041388234314,40.0,0.01,300.0,2,22.941127674545534,0.29206800913001435
J0653+4735,-2.41,9,2.2573906454794455,15.0,0.01,300.0,1,2.2177436038999403,0.0008882107504977216
J0711+3538,-3.25,7,14.60587159320715,80.0,0.001,0.0,2,79.90107473830182,0.8947172029984511
J0748+3209,-3.08,8,7.523245426394932,13.0,0.01,300.0,1,2.0519462064664005,0.0001909274915602725
J0804+5740,-2.47,8,15.480815135575114,40.0,0.001,300.0,3,5.702789202357657,0.0014366035255626956
