property,property,property,property,0,0,0,0,0,0
name,FeH,N,fitness,mass,metallicity,rotation,explosion,remnant,offset
J0003+1556,-2.23,15,7.141577199899385,30.0,0.01,0.0,2,29.86190385074956,0.8661270977081456
J0006+0123,-2.27,15,3.7633184948119025,30.0,0.01,0.0,2,29.86190385074956,0.6510955279833515
J0040+2729,-2.81,16,9.9527831295101,30.0,0.01,0.0,2,29.86190385074956,0.18426215796812498
J0041+3633,-2.37,16,5.657552372127264,30.0,0.01,0.0,2,29.86190385074956,0.5687050186009924
J0055+1857,-2.34,16,11.533557752689463,30.0,0.01,0.0,4,29.86190385074956,0.5313650684330371
J0119-0121,-3.19,10,12.61347521171194,60.0,0.01,300.0,2,37.4181421706636,0.15088952901605185
J0124+0458,-3.22,13,7.002450531950864,60.0,0.001,0.0,2,59.94274463953588,0.9256740136896637
J0127+1100,-2.41,15,5.6605546079188604,40.0,0.01,0.0,4,39.74756684723496,0.3973082532649505
J0159+1219,-1.94,16,8.99014608853226,80.0,0.01,300.0,4,47.00710705660149,0.9999999999999858
J0302+1356,-1.88,16,5.999550305406228,30.0,0.01,0.0,2,29.86190385074956,0.9999999999999858
J0405+2141,-3.21,13,7.540394576126014,60.0,0.001,0.0,4,59.94274463953588,0.8228748522572102
J0446+2124,-2.82,12,10.25288738018696,60.0,0.01,0.0,2,59.61755581029563,0.21344413953651384
J0554+5235,-2.29,15,12.812766312530552,120.0,0.01,300.0,4,70.36897637882832,0.4820473024104676
J0643+5934,-2.57,16,9.12822566745953,30.0,0.01,0.0,2,29.86190385074956,0.31032225658614404
J0653+4735,-2.41,15,13.546339917167495,60.0,0.01,0.0,2,59.61755581029563,0.37950345481975695
J0711+3538,-3.25,13,1.9582172009847056,60.0,0.01,0.0,4,59.61755581029563,0.06012001456992649
J0748+3209,-3.08,12,6.098862744283769,80.0,0.001,300.0,2,52.7990750418934,0.9999999999999858
J0804+5740,-2.47,16,15.79846021932437,120.0,0.01,300.0,4,70.36897637882832,0.296043233956174
J0824+3025,-2.72,8,4.944807533485391,60.0,0.01,300.0,2,37.4181421706636,0.19101442531055687
J0934-0108,-2.34,16,11.237206571389656,30.0,0.01,0.0,2,29.86190385074956,0.41130966157439347
J0948+0000,-2.79,12,21.131600918997485,20.0,0.01,300.0,3,3.7763391255174312,0.0005103014082673555
J0949+2707,-2.9,9,16.247923344024642,120.0,0.01,300.0,4,70.36897637882832,0.6453647591664294
J1003-0358,-2.18,13,13.870675998155757,30.0,0.01,0.0,4,29.86190385074956,0.9999999999999858
J1005-0350,-2.29,15,4.213350302542198,30.0,0.01,0.0,2,29.86190385074956,0.5851817473715324
J1011+3524,-2.25,12,9.873800052496742,40.0,0.01,0.0,4,39.74756684723496,0.8427391488608051
J1020+4046,-2.94,10,8.763228432508546,120.0,0.01,300.0,4,70.36897637882832,0.1070918727203202
J1044+3713,-2.03,16,4.269506955532824,30.0,0.01,0.0,2,29.86190385074956,0.9682339747683157
J1044-0358,-2.13,13,12.400466923966583,20.0,0.01,300.0,3,3.7763391255174312,0.0023909698317285837
J1058-0138,-2.28,12,9.291019288765886,30.0,0.01,0.0,2,29.86190385074956,0.6790351732621819
J1059+0208,-2.3,16,5.2906293512433615,120.0,0.01,0.0,4,102.809320935866,0.5739169351489548
J1101+2031,-2.52,15,3.5123767201993,30.0,0.01,0.0,2,29.86190385074956,0.32448325405518136
J1102+0102,-2.32,16,6.454569400305373,80.0,0.01,300.0,2,47.00710705660149,0.3018259690508873
J1109+0754,-3.31,16,4.747257366443734,80.0,0.001,300.0,2,52.7990750418934,0.4484067174418374
J1122+1223,-2.3,16,11.21117300034528,30.0,0.01,0.0,2,29.86190385074956,0.5317217488934017
J1145+0359,-2.43,16,7.551934536831052,30.0,0.01,0.0,2,29.86190385074956,0.411482283118894
J1158+0734,-2.93,16,6.151343093463894,30.0,0.01,0.0,2,29.86190385074956,0.12773100348562566
J1205+1309,-1.67,16,18.527370311521175,120.0,0.01,300.0,4,70.36897637882832,0.9999999999999858
J1207+2244,-2.76,16,7.727884906548443,30.0,0.01,0.0,2,29.86190385074956,0.20066669256628572
J1208+3954,-2.64,16,4.2617581338533785,30.0,0.01,0.0,2,29.86190385074956,0.2680451301104758
J1213+2506,-2.83,15,6.077368490188935,30.0,0.01,0.0,2,29.86190385074956,0.22296764784423326
J1218+2838,-2.13,16,4.235895411346613,80.0,0.01,300.0,4,47.00710705660149,0.7325446178972844
J1221+0907,-2.34,16,4.063930447264682,30.0,0.01,0.0,4,29.86190385074956,0.6246190931127993
J1225-0452,-2.52,16,4.97720689572726,30.0,0.01,0.0,4,29.86190385074956,0.2906593224904094
J1226+2323,-2.47,16,7.23779915147776,30.0,0.01,0.0,4,29.86190385074956,0.3842779094033996
J1236+3424,-2.53,15,3.0255793885663005,30.0,0.01,0.0,2,29.86190385074956,0.3266997988812771
J1250-0307,-2.07,15,5.484830386707274,30.0,0.01,0.0,4,29.86190385074956,0.6432271055131195
J1300+2632,-1.28,14,12.63381178408766,13.0,0.001,300.0,3,2.038680759383281,0.02003532277907892
J1341+3255,-2.81,16,2.669389934889655,30.0,0.01,0.0,2,29.86190385074956,0.16772184371578827
J1345+0513,-2.69,16,6.114497513040148,120.0,0.01,0.0,4,102.809320935866,0.21252384135036542
J1352+2646,-3.06,16,4.658253612353563,30.0,0.01,0.0,2,29.86190385074956,0.10321438520536241
J1400+1215,-2.42,16,3.6857596072435572,30.0,0.01,0.0,2,29.86190385074956,0.3504322301844006
J1400+4926,-2.58,16,5.464851355447556,30.0,0.01,0.0,2,29.86190385074956,0.24274488455010695
J1413+1727,-3.25,15,4.455680578665051,30.0,0.01,0.0,2,29.86190385074956,0.05567290624676423
J1414+1457,-2.58,16,7.030718059668485,120.0,0.01,0.0,4,102.809320935866,0.2724958975927334
J1414+1721,-2.45,16,10.587062136386077,30.0,0.01,0.0,2,29.86190385074956,0.3778447756219099
J1423+0322,-2.61,16,8.942030152205371,30.0,0.01,0.0,2,29.86190385074956,0.2656960988655461
J1434+3540,-1.91,13,7.106610114346643,25.0,0.01,150.0,3,3.1379176784461364,0.004858858378380747
J1459+0444,-2.76,16,4.340337660339664,30.0,0.01,0.0,2,29.86190385074956,0.21052551851374235
J1501+3445,-2.61,16,4.569790337292854,30.0,0.01,0.0,2,29.86190385074956,0.2315022464755439
J1516+0442,-2.33,16,5.922308488733972,30.0,0.01,0.0,4,29.86190385074956,0.463992359823496
J1518+2544,-2.15,16,12.944067770049788,120.0,0.01,300.0,4,70.36897637882832,0.623619825402297
J1520+5500,-2.18,16,5.4293621117653705,30.0,0.01,0.0,2,29.86190385074956,0.7407849057121877
J1523+0714,-2.63,16,3.2638152723836296,30.0,0.01,0.0,2,29.86190385074956,0.17358029839332278
J1548+2113,-2.33,15,6.393186504382429,30.0,0.01,0.0,4,29.86190385074956,0.37642606342546236
J1551+2040,-2.48,14,10.988152066848857,40.0,0.01,300.0,4,22.941127674545534,0.5163449194985925
J1604+1305,-2.15,15,12.276435249324042,30.0,0.01,0.0,2,29.86190385074956,0.9999999999999858
J1612-0207,-2.14,16,7.8923301496598475,80.0,0.01,300.0,2,47.00710705660149,0.669801321393373
J1634+0206,-2.15,16,4.973348825692007,30.0,0.01,0.0,4,29.86190385074956,0.8443728508991771
J1640+1550,-2.89,15,6.11679857082915,40.0,0.01,300.0,2,22.941127674545534,0.14518308525621432
J1641+0334,-3.26,9,1.8005724265521137,40.0,0.01,0.0,4,39.74756684723496,0.062272285606454494
J1650+4313,-3.02,13,2.18402510659162,80.0,0.01,0.0,2,78.59782235546902,0.12784131296602447
J1657+3443,-2.6,16,5.0888267148631465,30.0,0.01,0.0,2,29.86190385074956,0.26943193816042166
J1702+1732,-2.29,16,2.085113126798705,30.0,0.01,0.0,2,29.86190385074956,0.48991263647913535
J1717+2449,-2.45,16,13.115441789825764,30.0,0.01,0.0,4,29.86190385074956,0.4372127698378826
J1719+1358,-2.77,16,8.269099781104016,30.0,0.01,0.0,2,29.86190385074956,0.19552381263285004
J1730+4143,-2.5,16,7.277981868071996,30.0,0.01,0.0,2,29.86190385074956,0.3493647665236949
J1745+5410,-2.03,16,4.0282237012276365,30.0,0.01,0.0,4,29.86190385074956,0.9337952459064167
