property,property,property,property,0,0,0,0,0,0
name,FeH,N,fitness,mass,metallicity,rotation,explosion,remnant,offset
J0003+1556,-2.23,22,50639.56091900781,30.0,0.01,0.0,2,29.86190385074956,0.9999999999999859
J0006+0123,-2.27,19,20642.414577691907,80.0,0.01,0.0,2,78.59782235546902,0.9999999999999858
J0040+2729,-2.81,27,81020.53648080009,80.0,0.001,300.0,2,52.7990750418934,0.9999999999999859
J0041+3633,-2.37,23,50866.111782970045,60.0,0.01,0.0,2,59.61755581029563,0.9999999999999859
J0055+1857,-2.34,24,82061.84855175322,30.0,0.01,0.0,2,29.86190385074956,0.9999999999999858
J0119-0121,-3.19,15,22.664005902270702,60.0,0.01,300.0,3,8.110955757145227,0.0009265072368334263
J0124+0458,-3.22,20,69255.08196152588,30.0,0.001,0.0,4,29.979924920493133,0.9999999999999858
J0127+1100,-2.41,22,82440.05662474017,80.0,0.01,0.0,2,78.59782235546902,0.9999999999999858
J0159+1219,-1.94,22,25694.74560475527,120.0,0.01,300.0,4,70.36897637882832,0.9999999999999858
J0302+1356,-1.88,25,74356.03318688729,80.0,0.01,300.0,2,47.00710705660149,0.9999999999999858
J0405+2141,-3.21,20,103509.59053185418,60.0,0.001,0.0,4,59.94274463953588,0.9999999999999858
J0446+2124,-2.82,20,35813.52146537746,40.0,0.01,0.0,4,39.74756684723496,0.9999999999999858
J0554+5235,-2.29,22,67579.92524067465,30.0,0.01,0.0,2,29.86190385074956,0.9999999999999858
J0643+5934,-2.57,23,77435.54132196194,80.0,0.001,300.0,2,52.7990750418934,0.9999999999999858
J0653+4735,-2.41,27,134871.76250772297,60.0,0.01,0.0,2,59.61755581029563,0.9999999999999858
J0711+3538,-3.25,20,36816.662539347235,40.0,0.001,0.0,2,39.96803960783636,0.9999999999999858
J0748+3209,-3.08,18,10584.658673230391,80.0,0.001,300.0,4,52.7990750418934,0.9999999999999858
J0804+5740,-2.47,27,113561.19370043633,30.0,0.01,0.0,2,29.86190385074956,0.9999999999999858
J0824+3025,-2.72,10,10.840284622469653,20.0,0.01,300.0,3,3.7763391255174312,0.001071868855057763
J0934-0108,-2.34,24,71143.67851695705,80.0,0.01,0.0,4,78.59782235546902,0.9999999999999858
J0948+0000,-2.79,19,127061.13224467798,40.0,0.01,0.0,4,39.74756684723496,0.9999999999999858
J0949+2707,-2.9,13,16.89492117018604,20.0,0.01,300.0,3,3.7763391255174312,0.0030096002148415077
J1003-0358,-2.18,19,27629.358987475694,40.0,0.01,0.0,4,39.74756684723496,0.9999999999999857
J1005-0350,-2.29,21,47289.483522285365,30.0,0.01,0.0,2,29.86190385074956,0.9999999999999858
J1011+3524,-2.25,17,32015.643190252697,40.0,0.01,0.0,2,39.74756684723496,0.9999999999999857
J1020+4046,-2.94,17,35472.701750735956,40.0,0.01,0.0,4,39.74756684723496,0.9999999999999858
J1044+3713,-2.03,25,105378.25828284635,40.0,0.01,0.0,2,39.74756684723496,0.9999999999999859
J1044-0358,-2.13,18,7.968395859610126,20.0,0.01,300.0,3,3.7763391255174312,0.0024074562725174948
J1058-0138,-2.28,16,10.550288104785324,15.0,0.01,300.0,3,2.413726720745707,0.0010604990928311125
J1059+0208,-2.3,23,85823.22011668458,120.0,0.01,0.0,4,102.809320935866,0.9999999999999858
J1101+2031,-2.52,22,44641.39885304305,80.0,0.001,300.0,2,52.7990750418934,0.9999999999999858
J1102+0102,-2.32,24,76648.02990962582,80.0,0.01,0.0,2,78.59782235546902,0.9999999999999858
J1109+0754,-3.31,25,42061.58443399236,60.0,0.001,0.0,4,59.94274463953588,0.9999999999999859
J1122+1223,-2.3,22,47038.0275255329,30.0,0.01,0.0,2,29.86190385074956,0.9999999999999858
J1145+0359,-2.43,25,83530.78184766036,60.0,0.01,0.0,4,59.61755581029563,0.9999999999999858
J1158+0734,-2.93,26,46772.62187263515,30.0,0.001,0.0,4,29.979924920493133,0.9999999999999858
J1205+1309,-1.67,24,103426.97359241433,120.0,0.01,300.0,4,70.36897637882832,0.9999999999999858
J1207+2244,-2.76,24,35559.49411955499,80.0,0.001,300.0,2,52.7990750418934,0.9999999999999858
J1208+3954,-2.64,24,40891.92927542472,80.0,0.001,300.0,2,52.7990750418934,0.9999999999999858
J1213+2506,-2.83,19,14356.932419462171,80.0,0.001,300.0,2,52.7990750418934,0.9999999999999858
J1218+2838,-2.13,21,17975.205082433095,30.0,0.01,0.0,2,29.86190385074956,0.9999999999999858
J1221+0907,-2.34,24,50074.529692665674,60.0,0.01,0.0,4,59.61755581029563,0.9999999999999858
J1225-0452,-2.52,25,64173.585269825184,80.0,0.001,300.0,4,52.7990750418934,0.9999999999999858
J1226+2323,-2.47,25,64570.67615962254,80.0,0.01,0.0,2,78.59782235546902,0.9999999999999858
J1236+3424,-2.53,23,43216.95692557323,80.0,0.01,0.0,4,78.59782235546902,0.9999999999999858
J1250-0307,-2.07,21,35400.41219975952,30.0,0.01,0.0,2,29.86190385074956,0.9999999999999858
J1300+2632,-1.28,20,8963.312526345346,120.0,0.01,300.0,4,70.36897637882832,0.9999999999999858
J1341+3255,-2.81,25,43902.13016385377,30.0,0.001,0.0,4,29.979924920493133,0.9999999999999859
J1345+0513,-2.69,24,85457.1749673983,80.0,0.001,300.0,2,52.7990750418934,0.9999999999999858
J1352+2646,-3.06,22,26239.07374855262,60.0,0.001,0.0,4,59.94274463953588,0.9999999999999858
J1400+1215,-2.42,24,92947.50363848556,80.0,0.01,0.0,4,78.59782235546902,0.9999999999999858
J1400+4926,-2.58,22,57876.67251456874,80.0,0.001,300.0,2,52.7990750418934,0.9999999999999857
J1413+1727,-3.25,21,31185.44296834691,60.0,0.001,0.0,4,59.94274463953588,0.9999999999999857
J1414+1457,-2.58,25,62875.13278657645,80.0,0.001,300.0,2,52.7990750418934,0.9999999999999858
J1414+1721,-2.45,22,51994.630139698,30.0,0.01,0.0,2,29.86190385074956,0.9999999999999858
J1423+0322,-2.61,24,76201.5017095128,80.0,0.001,300.0,4,52.7990750418934,0.9999999999999858
