Element,A(X),[X/Fe],Δobs,Δatm,Δfinal,Δfinal [X/ Fe]
,,,(dex),(dex),(dex),(dex)
C,5,−0.06,0.1,0.16,0.19,0.22
N,5.6,1.19,0.1,0.1,0.14,0.21
Mg,4.75,0.65,0.07,0.09,0.11,0.17
Al,2.68,−0.35,0.1,0.12,0.16,0.2
Si,4.8,0.72,0.1,0.02,0.1,0.16
S,4.33,0.61,0.1,0.12,0.16,0.2
K,2.6,0.93,0.1,0.05,0.11,0.18
Ca,3.32,0.43,0.07,0.02,0.07,0.14
Sc,−0.36,−0.02,0.05,0.04,0.06,0.16
Ti,1.8,0.35,0.07,0.09,0.12,0.17
V,0.53,−0.03,0.06,0.07,0.09,0.14
Cr,1.78,−0.41,0.01,0.02,0.02,0.11
Mn,1.58,−0.35,0.1,0.07,0.12,0.17
Fe,4.07,−3.45,0.09,0.09,0.13,–
Co,1.74,0.26,0.1,0.04,0.11,0.17
Ni,2.78,−0.01,0.1,0.02,0.1,0.15
Sr,−0.84,−0.32,0.1,0.06,0.12,0.17
Y,−1.45,−0.22,0.02,0.07,0.07,0.13
Zr,−0.77,0.1,0.07,0.06,0.09,0.14
Ru,−0.95,0.65,0.1,0.1,0.14,0.19
Ba,−1.10,0.17,0.1,0.02,0.1,0.16
La,−2.06,0.24,0.05,0.07,0.09,0.14
Ce,−1.65,0.18,0.1,0.1,0.14,0.18
Pr,−2.13,0.56,0.03,0.08,0.09,0.14
Nd,−1.56,0.44,0.05,0.05,0.07,0.13
Sm,−1.76,0.68,0.08,0.07,0.1,0.16
Eu,−2.24,0.68,0.05,0.05,0.07,0.13
Gd,−1.85,0.48,0.1,0.05,0.11,0.16
Tb,−2.40,0.76,0.1,0.1,0.14,0.2
Dy,−1.62,0.69,0.07,0.12,0.14,0.18
Ho,−2.38,0.56,0.1,0.08,0.13,0.19
Er,−1.75,0.73,0.1,0.08,0.13,0.18
Tm,−2.72,0.59,0.1,0.07,0.12,0.17
Yb,−1.98,0.6,0.1,0.07,0.12,0.19
Th,−2.45,0.91,0.1,0.1,0.14,0.18
