H       7.375E-01   1.000E+00   
He      2.493E-01   8.511E-02   
Li      5.698E-11   1.122E-11   
Be      1.582E-10   2.399E-11   
B       3.964E-09   5.012E-10   
C       2.365E-03   2.692E-04   
N       6.929E-04   6.761E-05   
O       5.733E-03   4.898E-04   
F       3.492E-07   2.512E-08   
Ne      1.257E-03   8.511E-05   
Na      2.728E-05   1.622E-06   
Mg      6.918E-04   3.890E-05   
Al      5.314E-05   2.692E-06   
Si      6.650E-04   3.236E-05   
P       5.825E-06   2.570E-07   
S       3.093E-04   1.318E-05   
Cl      8.203E-06   3.162E-07   
Ar      7.342E-05   2.512E-06   
K       3.137E-06   1.096E-07   
Ca      6.127E-05   2.089E-06   
Sc      4.754E-08   1.445E-09   
Ti      2.981E-06   8.511E-08   
V       2.893E-07   7.762E-09   
Cr      1.586E-05   4.169E-07   
Mn      1.057E-05   2.630E-07   
Fe      1.206E-03   2.951E-05   
Co      3.670E-06   8.511E-08   
Ni      6.806E-05   1.585E-06   
Cu      7.037E-07   1.514E-08   
Zn      1.738E-06   3.631E-08   
Ga      5.342E-08   1.047E-09   
Ge      2.267E-07   4.266E-09   
As      1.094E-08   1.995E-10   
Se      1.264E-07   2.188E-09   
Br      2.027E-08   3.467E-10   
Kr      1.090E-07   1.778E-09   
Rb      1.846E-08   2.951E-10   
Sr      4.334E-08   6.761E-10   
Y       1.055E-08   1.622E-10   
Zr      2.597E-08   3.890E-10   
Nb      2.006E-09   2.951E-11   
Mo      5.325E-09   7.586E-11   
Ru      4.159E-09   5.623E-11   
Rh      5.845E-10   7.762E-12   
Pd      2.763E-09   3.548E-11   
Ag      7.198E-10   9.120E-12   
Cd      4.843E-09   5.888E-11   
In      5.301E-10   6.310E-12   
Sn      9.095E-09   1.047E-10   
Sb      9.116E-10   1.023E-11   
Te      1.413E-08   1.514E-10   
I       3.295E-09   3.548E-11   
Xe      1.669E-08   1.738E-10   
Cs      1.169E-09   1.202E-11   
Ba      1.787E-08   1.778E-10   
La      1.309E-09   1.288E-11   
Ce      3.898E-09   3.802E-11   
Pr      5.411E-10   5.248E-12   
Nd      2.776E-09   2.630E-11   
Sm      9.805E-10   8.913E-12   
Eu      3.682E-10   3.311E-12   
Gd      1.383E-09   1.202E-11   
Tb      2.374E-10   2.042E-12   
Dy      1.497E-09   1.259E-11   
Ho      3.644E-10   3.020E-12   
Er      1.042E-09   8.511E-12   
Tm      1.592E-10   1.288E-12   
Yb      8.963E-10   7.079E-12   
Lu      1.612E-10   1.259E-12   
Hf      9.245E-10   7.079E-12   
Ta      1.004E-10   7.586E-13   
W       9.094E-10   6.761E-12   
Re      2.479E-10   1.820E-12   
Os      3.496E-09   2.512E-11   
Ir      3.699E-09   2.630E-11   
Pt      5.950E-09   4.169E-11   
Au      1.171E-09   8.128E-12   
Hg      2.171E-09   1.479E-11   
Tl      1.188E-09   7.943E-12   
Pb      1.261E-08   8.318E-11   
Bi      6.830E-10   4.467E-12   
Th      1.819E-10   1.072E-12   
U       5.023E-11   2.884E-13   
