El,2,1.3,1,1.5,2,3,4.5,6,9,12,18,24,30,45,75,150
He,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24
C,4.07,4.07,4.07,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.05,4.05
N,1.93,1.93,1.93,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.91,1.91,1.91,1.91,1.91,1.91
O,2.18,2.13,2.09,2.04,2.01,1.96,1.93,1.91,1.88,1.87,1.85,1.85,1.84,1.83,1.82,1.81
F,4.27,4.22,4.18,4.11,4.07,4.01,3.94,3.89,3.82,3.76,3.68,3.62,3.58,3.49,3.38,3.17
Ne,2.46,2.45,2.44,2.43,2.42,2.42,2.41,2.41,2.41,2.41,2.41,2.41,2.4,2.4,2.4,2.4
Na,2.22,2.2,2.19,2.19,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.17,2.17,2.16,2.15,2.14
Mg,1.8,1.75,1.72,1.67,1.64,1.59,1.55,1.52,1.49,1.47,1.45,1.44,1.43,1.42,1.41,1.41
Al,0.85,0.77,0.71,0.62,0.57,0.51,0.46,0.44,0.41,0.4,0.38,0.38,0.37,0.36,0.35,0.34
Si,0.74,0.65,0.59,0.51,0.47,0.42,0.39,0.38,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34
P,2.17,1.96,1.79,1.54,1.38,1.15,0.97,0.87,0.78,0.74,0.68,0.65,0.63,0.58,0.53,0.47
S,0.63,0.52,0.46,0.39,0.36,0.34,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31
Cl,0.49,0.37,0.3,0.24,0.21,0.2,0.19,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.25,0.22
Ar,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
K,0.5,0.47,0.46,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.44,0.44,0.44,0.44,0.44,0.43
Ca,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
Sc,1.19,1.04,0.96,0.89,0.86,0.85,0.85,0.86,0.88,0.89,0.91,0.91,0.91,0.9,0.87,0.82
Ti,0.66,0.52,0.45,0.39,0.38,0.39,0.4,0.41,0.43,0.43,0.43,0.42,0.41,0.38,0.35,0.32
V,0.34,0.2,0.13,0.08,0.07,0.08,0.09,0.1,0.11,0.11,0.1,0.09,0.07,0.04,0.02,0
Cr,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Mn,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
Fe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co,0.99,0.99,0.98,0.98,0.97,0.96,0.95,0.95,0.94,0.93,0.92,0.92,0.92,0.91,0.91,0.92
Ni,0.34,0.32,0.31,0.3,0.29,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.26,0.26,0.27
Cu,1.44,1.41,1.39,1.37,1.35,1.33,1.3,1.29,1.27,1.26,1.26,1.26,1.27,1.29,1.32,1.33
Zn,0.84,0.8,0.77,0.73,0.71,0.68,0.65,0.64,0.63,0.63,0.65,0.68,0.71,0.77,0.8,0.77
Ga,1.43,1.37,1.33,1.28,1.25,1.21,1.17,1.16,1.15,1.17,1.22,1.27,1.32,1.4,1.42,1.36
Ge,1.46,1.39,1.34,1.28,1.25,1.2,1.17,1.16,1.17,1.2,1.28,1.35,1.41,1.49,1.5,1.39
As,1.3,1.22,1.17,1.1,1.07,1.02,0.99,0.99,1.01,1.06,1.16,1.25,1.31,1.39,1.38,1.24
Se,1.45,1.36,1.3,1.22,1.18,1.14,1.11,1.11,1.16,1.24,1.38,1.47,1.54,1.61,1.57,1.37
