El,-3.6,-3,-2.6,-2.3,-2,-1.6,-1.3,-1
He,0.06,0.05,0.05,0.05,0.05,0.03,0.01,0.01
C,4.44,3.83,3.43,3.13,2.83,2.13,1.54,1.24
N,1.41,0.92,0.68,0.56,0.48,0.41,0.4,0.4
O,2.21,1.68,1.36,1.14,0.94,0.67,0.52,0.4
F,4.23,3.63,3.19,2.79,2.3,1.34,0.64,0.35
Ne,2.2,1.62,1.27,1.03,0.84,0.52,0.39,0.37
Na,1.65,1.06,0.71,0.48,0.31,0.1,0.04,0.03
Mg,0.79,0.47,0.35,0.31,0.28,0.26,0.25,0.25
Al,0.04,0.02,0.01,0.01,0.01,0.01,0,0
Si,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28
P,0.25,0.2,0.18,0.15,0.12,0.04,0.01,0.01
S,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
Cl,0.05,0.04,0.04,0.04,0.04,0.03,0.01,0.01
Ar,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
K,0.32,0.31,0.31,0.31,0.3,0.29,0.29,0.29
Ca,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
Sc,0.28,0.25,0.22,0.21,0.21,0.11,0.04,0.03
Ti,0.27,0.27,0.27,0.27,0.28,0.25,0.24,0.24
V,0.01,0.01,0.01,0.01,0.01,0,0,0
Cr,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Mn,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
Fe,0,0,0,0,0,0,0,0
Co,0.41,0.38,0.35,0.3,0.22,0.07,0.03,0.03
Ni,0.07,0.05,0.03,0.02,0.01,0,0,0
Cu,0.71,0.57,0.45,0.32,0.18,0.07,0.05,0.07
Zn,0.23,0.13,0.07,0.04,0.02,0.04,0.04,0.04
Ga,0.5,0.31,0.19,0.12,0.11,0.19,0.18,0.18
Ge,0.44,0.25,0.16,0.12,0.15,0.29,0.25,0.22
As,0.28,0.15,0.09,0.08,0.12,0.26,0.21,0.16
Se,0.3,0.17,0.13,0.12,0.23,0.4,0.31,0.22
Br,0.23,0.13,0.1,0.1,0.2,0.36,0.27,0.18
Kr,0.31,0.26,0.26,0.32,0.49,0.56,0.38,0.22
Rb,0.44,0.4,0.41,0.47,0.66,0.63,0.38,0.18
Sr,0.53,0.57,0.69,0.92,1.29,1.26,0.89,0.42
Y,0.65,0.71,0.84,1.09,1.44,1.31,0.84,0.31
Zr,0.72,0.79,0.94,1.2,1.5,1.31,0.7,0.2
Nb,0.76,0.83,0.98,1.25,1.54,1.32,0.67,0.18
Mo,0.67,0.74,0.89,1.15,1.41,1.17,0.47,0.1
Ru,0.47,0.52,0.65,0.9,1.18,0.99,0.34,0.07
Rh,0.25,0.28,0.39,0.61,0.88,0.71,0.19,0.03
Pd,0.52,0.58,0.75,1.06,1.37,1.16,0.43,0.09
Ag,0.29,0.34,0.49,0.76,1.03,0.83,0.23,0.04
Cd,0.66,0.76,0.96,1.26,1.53,1.29,0.48,0.11
In,0.53,0.61,0.8,1.08,1.34,1.1,0.34,0.06
Sn,0.84,0.95,1.15,1.43,1.65,1.35,0.44,0.09
Sb,0.58,0.68,0.86,1.11,1.29,0.98,0.21,0.03
Te,0.5,0.59,0.76,1.01,1.18,0.88,0.16,0.02
I,0.21,0.27,0.38,0.58,0.73,0.48,0.05,0
Xe,0.58,0.67,0.86,1.11,1.27,0.93,0.17,0.02
Cs,0.48,0.57,0.76,1.01,1.17,0.84,0.13,0.02
Ba,1.57,1.68,1.87,2.05,2.15,1.5,0.46,0.06
La,1.61,1.72,1.9,2.07,2.15,1.38,0.4,0.03
Ce,1.8,1.9,2.06,2.19,2.29,1.35,0.4,0.02
Pr,1.6,1.7,1.87,2,2.1,1.15,0.28,0.01
Nd,1.69,1.79,1.96,2.08,2.18,1.16,0.29,0.01
Sm,1.51,1.61,1.77,1.87,1.95,0.89,0.17,0
Eu,0.85,0.93,1.07,1.17,1.24,0.34,0.03,0
Gd,1.25,1.33,1.49,1.58,1.66,0.62,0.09,0
Tb,1.01,1.1,1.25,1.34,1.41,0.44,0.05,0
Dy,1.23,1.32,1.47,1.55,1.62,0.59,0.08,0
Ho,1,1.08,1.22,1.3,1.38,0.41,0.05,0
Er,1.35,1.44,1.58,1.66,1.73,0.67,0.1,0
Tm,1.22,1.3,1.44,1.5,1.58,0.55,0.07,0
Yb,1.66,1.74,1.88,1.96,2.06,0.94,0.2,0.01
Lu,1.37,1.45,1.59,1.67,1.77,0.69,0.11,0
Hf,1.83,1.92,2.07,2.16,2.26,1.09,0.26,0.01
Ta,1.71,1.8,1.95,2.04,2.14,0.97,0.2,0.01
W,1.86,1.94,2.1,2.18,2.28,1.1,0.26,0.01
Re,1.36,1.43,1.56,1.63,1.71,0.62,0.09,0
Os,1.2,1.28,1.43,1.5,1.6,0.5,0.06,0
Ir,0.48,0.53,0.64,0.7,0.78,0.1,0,0
Pt,0.98,1.06,1.2,1.27,1.36,0.32,0.03,0
Au,0.96,1.03,1.17,1.23,1.32,0.3,0.03,0
Hg,1.95,2.03,2.18,2.24,2.35,1.07,0.24,0.03
Tl,2.05,2.11,2.23,2.29,2.35,1.12,0.24,0.01
Pb,3.08,3.06,2.99,2.85,2.43,1.06,0.1,0
Bi,2.86,2.78,2.64,2.41,1.66,0.34,0.01,0
