El,-3.6,-3.0,-2.6,-2.3,-2.0 ,-1.6,-1.3,-1.0 
He,0.26,0.26,0.26,0.26,0.25,0.14,0.07,0.07
C,5.14,4.53,4.13,3.83,3.52,2.83,2.24,1.94
N,3.15,2.55,2.16,1.86,1.57,0.98,0.64,0.53
O,3.07,2.48,2.09,1.79,1.5,0.95,0.63,0.46
F,5.02,4.42,4.02,3.7,3.38,2.62,1.9,1.41
Ne,3.87,3.27,2.87,2.58,2.28,1.62,1.11,0.93
Na,3.57,2.97,2.57,2.26,1.96,1.27,0.73,0.52
Mg,2.98,2.38,1.98,1.69,1.4,0.8,0.46,0.37
Al,1.75,1.17,0.81,0.57,0.37,0.1,0.03,0.02
Si,1.29,0.81,0.59,0.48,0.41,0.32,0.29,0.29
P,2.63,2.04,1.66,1.4,1.16,0.65,0.33,0.26
S,0.87,0.53,0.41,0.37,0.34,0.3,0.29,0.29
Cl,0.53,0.32,0.26,0.23,0.22,0.11,0.06,0.06
Ar,0.28,0.27,0.26,0.26,0.26,0.26,0.26,0.26
K,0.5,0.47,0.46,0.45,0.44,0.36,0.32,0.31
Ca,0.28,0.28,0.28,0.27,0.27,0.28,0.29,0.29
Sc,1.11,0.95,0.89,0.86,0.83,0.54,0.33,0.34
Ti,0.61,0.46,0.41,0.4,0.38,0.32,0.29,0.3
V,0.28,0.13,0.09,0.07,0.06,0.03,0.02,0.03
Cr,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Mn,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
Fe,0,0,0,0,0,0,0,0
Co,1.01,1.01,1.01,1,0.99,0.7,0.43,0.36
Ni,0.32,0.32,0.31,0.3,0.27,0.12,0.05,0.03
Cu,1.44,1.43,1.41,1.39,1.34,0.95,0.57,0.43
Zn,0.83,0.81,0.78,0.74,0.68,0.35,0.14,0.08
Ga,1.41,1.37,1.33,1.28,1.19,0.74,0.36,0.24
Ge,1.41,1.37,1.32,1.26,1.16,0.7,0.33,0.24
As,1.24,1.19,1.14,1.08,0.97,0.53,0.22,0.17
Se,1.38,1.33,1.27,1.19,1.07,0.6,0.28,0.26
Br,1.28,1.22,1.16,1.09,0.97,0.51,0.22,0.22
Kr,1.55,1.45,1.37,1.28,1.16,0.72,0.48,0.65
Rb,1.82,1.71,1.63,1.53,1.4,0.95,0.69,0.88
Sr,1.68,1.51,1.42,1.34,1.27,0.97,0.9,1.34
Y,1.76,1.55,1.46,1.4,1.35,1.11,1.07,1.53
Zr,1.78,1.54,1.45,1.41,1.38,1.19,1.18,1.64
Nb,1.8,1.56,1.47,1.43,1.41,1.22,1.22,1.69
Mo,1.67,1.42,1.33,1.29,1.29,1.12,1.14,1.59
Ru,1.4,1.15,1.07,1.03,1.01,0.85,0.87,1.3
Rh,1.03,0.79,0.71,0.68,0.66,0.53,0.55,0.98
Pd,1.42,1.16,1.08,1.04,1.04,0.9,0.96,1.48
Ag,1.04,0.8,0.72,0.69,0.69,0.58,0.66,1.15
Cd,1.51,1.26,1.18,1.16,1.18,1.08,1.18,1.68
In,1.32,1.08,1.01,0.99,1.01,0.92,1,1.48
Sn,1.74,1.49,1.42,1.4,1.41,1.3,1.39,1.84
Sb,1.43,1.18,1.11,1.09,1.11,1.01,1.1,1.52
Te,1.3,1.05,0.99,0.97,0.99,0.9,0.99,1.4
I,0.82,0.61,0.55,0.54,0.55,0.49,0.56,0.92
Xe,1.4,1.16,1.09,1.07,1.09,1.01,1.1,1.5
Cs,1.21,0.98,0.91,0.9,0.92,0.86,0.96,1.38
Ba,2.3,2.08,2.03,2.04,2.11,2.09,2.15,2.4
La,2.31,2.1,2.06,2.07,2.15,2.14,2.2,2.4
Ce,2.45,2.26,2.23,2.26,2.35,2.35,2.37,2.52
Pr,2.23,2.04,2.01,2.04,2.13,2.14,2.17,2.33
Nd,2.32,2.14,2.11,2.13,2.23,2.23,2.24,2.39
Sm,2.17,1.99,1.96,1.99,2.08,2.08,2.07,2.19
Eu,1.46,1.28,1.26,1.28,1.37,1.37,1.37,1.48
Gd,1.89,1.71,1.68,1.71,1.81,1.81,1.8,1.91
Tb,1.65,1.47,1.44,1.47,1.57,1.57,1.56,1.66
Dy,1.88,1.7,1.68,1.71,1.8,1.81,1.79,1.89
Ho,1.64,1.46,1.44,1.47,1.56,1.57,1.55,1.64
Er,2.01,1.83,1.81,1.84,1.94,1.94,1.91,1.99
Tm,1.87,1.69,1.67,1.7,1.79,1.79,1.75,1.83
Yb,2.35,2.17,2.15,2.18,2.28,2.26,2.21,2.3
Lu,2.07,1.89,1.87,1.89,1.99,1.97,1.91,2
Hf,2.53,2.36,2.33,2.36,2.45,2.43,2.38,2.48
Ta,2.41,2.23,2.21,2.23,2.33,2.31,2.26,2.37
W,2.53,2.36,2.33,2.36,2.46,2.45,2.41,2.52
Re,1.95,1.79,1.77,1.8,1.9,1.89,1.84,1.95
Os,1.83,1.66,1.64,1.68,1.78,1.77,1.73,1.83
Ir,0.99,0.83,0.82,0.85,0.94,0.94,0.9,0.98
Pt,1.59,1.43,1.41,1.45,1.55,1.54,1.49,1.58
Au,1.56,1.4,1.38,1.42,1.52,1.51,1.45,1.54
Hg,2.58,2.42,2.4,2.44,2.54,2.53,2.47,2.57
Tl,2.61,2.47,2.46,2.51,2.62,2.59,2.49,2.61
Pb,4.12,4.08,4.07,4.06,4.05,3.72,3.33,3.07
Bi,3.98,3.94,3.93,3.91,3.87,3.48,3,2.56
