,Isotope,,Sne+2008,,Gor1999,,Bis2014 This Work,,
Z,A,N⊙,s- r- s- r-,,,,s-,s-,r-
31,69Ga,2.20E+01,0.49,0.51,0.719,0.281,-,0.653,0.347
31,71Ga,1.46E+01,0.689,0.311,0.866,0.134,-,0.832,0.168
32,70Ge,2.43E+01,1,0,1,0,-,1,0
32,72Ge,3.17E+01,0.567,0.433,1,0,-,0.678,0.322
32,73Ge,8.80E+00,0.384,0.616,0.283,0.717,-,0.548,0.452
32,74Ge,4.12E+01,0.366,0.634,0.522,0.478,-,0.499,0.501
32,76Ge,8.50E+00,0,1,0,1,-,0.247,0.753
33,75As,6.10E+00,0.215,0.785,0.38,0.62,-,0.581,0.419
34,76Se,6.32E+00,1,0,1,0,-,1,0
34,77Se,5.15E+00,0.356,0.644,0.27,0.73,-,0.605,0.395
34,78Se,1.60E+01,0.507,0.493,1,0,-,0.547,0.453
34,80Se,3.35E+01,0.235,0.765,0.161,0.839,-,0.187,0.813
34,82Se,5.89E+00,0,1,0,1,-,0.111,0.889
35,79Br,5.43E+00,0.1,0.9,0.114,0.886,-,0.278,0.722
35,81Br,5.28E+00,0.094,0.906,0.229,0.771,-,0.252,0.748
36,80Kr,1.30E+00,1,0,1,0,0.133,1,0
36,82Kr,6.51E+00,1,0,1,0,0.274,1,0
36,83Kr,6.45E+00,0.347,0.653,0.321,0.679,0.095,0.291,0.709
36,84Kr,3.18E+01,0.37,0.63,0.257,0.743,0.117,0.222,0.778
36,86Kr,9.61E+00,0.911,0.089,1,0,0.152,0.677,0.323
37,85Rb,5.12E+00,0.198,0.802,0.44,0.56,0.0.326,,0.674
37,87Rb,2.11E+00,0.957,0.043,0.861,0.139,0.249,0.96,0.04
38,86Sr,2.30E+00,1,0,1,0,0.611,1,0
38,87Sr,1.60E+00,1,0,1,0,0.582,1,0
38,88Sr,1.92E+01,0.869,0.131,0.787,0.213,0.711,0.903,0.097
39,89Y,4.63E+00,0.719,0.281,0.76,0.24,0.719,0.778,0.222
40,90Zr,5.55E+00,0.821,0.179,0.529,0.471,0.603,0.807,0.193
40,91Zr,1.21E+00,0.967,0.033,0.826,0.174,0.712,0.957,0.043
40,92Zr,1.85E+00,0.705,0.295,0.966,0.034,0.682,0.745,0.255
40,94Zr,1.87E+00,0.908,0.092,1,0,0.836,0.925,0.075
40,96Zr,3.02E-01,0,1,1,0,0.387,0.291,0.709
41,93Nb,7.80E-01,0.676,0.324,0.873,0.127,0.56,0.651,0.349
42,95Mo,4.04E-01,0.47,0.53,0.653,0.347,0.454,0.479,0.521
42,96Mo,4.25E-01,1,0,1,0,0.782,1,0
42,97Mo,2.45E-01,0.642,0.358,0.67,0.33,0.433,0.563,0.437
42,98Mo,6.22E-01,0.847,0.153,0.881,0.119,0.575,0.804,0.196
42,100Mo,2.50E-01,0,1,0.096,0.904,0.023,0.038,0.962
44,99Ru,2.27E-01,0.3,0.7,0.238,0.762,0.21,0.312,0.688
44,100Ru,2.24E-01,1,0,1,0,0.801,1,0
44,101Ru,3.04E-01,0.158,0.842,0.122,0.878,0.128,0.141,0.859
44,102Ru,5.62E-01,0.444,0.556,0.44,0.56,0.433,0.476,0.524
44,104Ru,3.32E-01,0,1,0,1,0.014,0.023,0.977
45,103Rh,3.70E-01,0.16,0.84,0.197,0.803,0.118,0.122,0.878
