Z Yi
0 1.178569E-27
1 5.412345E-08
2 2.574009E-02
3 1.898375E-10
4 1.174507E-05
5 2.658365E-08
6 7.513209E-08
7 7.870761E-06
8 5.189171E-07
9 1.286918E-07
10 1.010336E-06
11 4.871813E-07
12 3.051936E-06
13 1.140498E-07
14 4.073896E-07
15 1.014782E-07
16 6.502078E-07
17 4.458161E-07
18 5.789822E-07
19 4.004627E-07
20 3.003269E-06
21 1.143651E-06
22 1.806477E-06
23 1.677108E-07
24 6.681756E-07
25 3.072939E-08
26 1.861349E-07
27 3.869177E-08
28 3.378505E-07
29 2.575973E-07
30 5.740946E-07
31 2.566692E-07
32 1.816397E-06
33 1.122490E-07
34 8.112554E-06
35 1.821095E-06
36 2.419438E-06
37 9.226173E-07
38 3.643296E-07
39 1.703645E-07
40 5.843765E-07
41 8.843232E-08
42 7.421909E-07
43 5.430114E-11
44 1.227894E-06
45 3.231311E-07
46 9.534161E-06
47 3.556784E-06
48 4.648236E-05
49 1.115682E-05
50 2.348408E-04
51 7.014255E-05
52 3.771359E-04
53 6.358967E-05
54 7.254577E-04
55 1.018797E-04
56 3.651063E-04
57 8.849107E-05
58 1.628744E-04
59 6.189359E-05
60 2.501225E-04
61 6.421197E-19
62 1.275752E-04
63 1.219809E-05
64 1.206700E-04
65 1.087663E-05
66 8.811618E-05
67 1.527620E-05
68 1.578589E-04
69 1.373780E-05
70 1.102855E-04
71 1.037442E-05
72 4.921341E-05
73 8.628166E-06
74 5.927352E-05
75 9.084494E-06
76 3.122176E-05
77 7.452873E-06
78 8.582731E-04
79 1.283641E-04
80 8.170923E-04
81 4.828270E-06
82 1.310025E-04
83 7.069459E-05
84 9.764729E-12
85 7.612373E-12
86 1.126273E-16
87 1.974273E-13
88 8.559462E-12
89 7.997641E-19
90 2.265801E-05
91 5.729363E-17
92 4.022015E-05
93 3.130059E-20
94 4.497482E-16
95 4.259446E-24
96 0.000000E+00
97 0.000000E+00
98 0.000000E+00
99 0.000000E+00
100 0.000000E+00
101 0.000000E+00
102 0.000000E+00
103 0.000000E+00
104 0.000000E+00
105 0.000000E+00
106 0.000000E+00
107 0.000000E+00
108 0.000000E+00
109 0.000000E+00
110 0.000000E+00
111 0.000000E+00
